,size_factor
beb63625-d9bf-4ccd-bc53-635b53d24240,0.6118964712863015
b54865b6-824e-4163-b759-21a6eacc98ce,1.7209862536272342
c59d90a6-9cda-426d-b8ea-41f0a87033d5,1.7450885362554356
e8ec26bd-c88d-42b9-ac8a-ab121b8140f8,1.7663927402027781
e394e9ec-7288-4ede-9ef8-41b631d100dd,0.4750582589815266
e4c0d890-a634-48bd-9108-e674532b0d2e,1.0912397333109396
41f8c9fd-ae52-4458-886b-faf37de77dd0,1.3948599374433879
e7dbfca1-9657-4952-8e0d-dec6373dda5b,0.756451561158157
269e8ca8-722d-449b-ace1-6545bd72bdd6,1.5893131636416464
17633a60-e12b-4a7c-bd8a-c16341ddc606,0.627809112590605
80809d79-92e1-4d6c-ba2e-0a9589997792,0.3530446312809799
1136dd50-242a-4659-aad4-c53f9e759bb3,1.4342153600487075
7f6898e2-a840-4ad1-80f7-783f8b766fcc,1.3696835475623184
5d66191d-da49-4d7e-89a4-a382db338340,1.3260184305747116
849442d3-eb82-416e-9d36-2fc15dfac67a,1.519285749129402
3aae5316-6a5d-4b83-9020-ad691d4edf99,1.2981395754245988
b95720b1-aa00-4c6a-b202-3350d035829f,1.1146110280845982
0b8de222-119a-40f3-8beb-12b9d933225b,0.9191029804016272
57a2044d-20cc-4d02-b268-ce570a0fabe3,1.0170005123124275
69fb431f-0caf-4cdd-9085-eda5b18ed15d,0.24921694300412983
80311cf5-7e18-4545-92ad-c4b7dd5c9677,0.45963308560624405
b3fea9bb-53f9-4ddb-922d-b570562d7a7d,1.5032281276944204
4aadf2a2-ce1e-4f94-b146-59292e83e7fd,1.7085561905560467
6fa41234-9077-4d05-a295-6820f3bedf5b,0.7208061566741704
2d3ce817-b269-4662-a92d-392bd3662399,0.6867561010764951
ff1407c6-9174-4bae-a19b-d34ca71b898c,0.6995900227438772
7a6c54f1-f4e4-426b-b306-2ca3c4de12ca,0.7347137568980612
2d02bd7a-5beb-4e43-9ccb-18d89c9d5ca2,0.48361771723633357
0f74d992-00da-4728-9564-086ca1b95921,1.2135010409316034
6cd8d2dd-5545-43b0-b796-ae0506d62eb8,1.8982428929932595
