,epithelial,mesenchymal,tgfb_pathway,wnt_pathway,proliferation,cytotoxic_t,immune_suppression,hypoxia,emt_index,immune_balance,invasion_potential
TCGA-AA-3000,-0.10370725471396612,0.23961840628507294,0.13816964285714287,,,,0.31666666666666665,,0.34332566099903905,,0.24074765192809094
TCGA-AA-3001,-0.02348993288590604,0.06520763187429854,-0.05825892857142857,,,,0.17555555555555555,,0.08869756476020457,,0.015219318094388
TCGA-AA-3002,-0.21891978267817194,0.23378226711560046,0.17008928571428572,,,,0.3477777777777778,,0.4527020497937724,,0.31139566775402905
TCGA-AA-3003,-0.08644934483860658,0.09248035914702582,0.2200892857142857,,,,0.35888888888888887,,0.1789297039856324,,0.19950949484995906
TCGA-AA-3004,0.01070629594119527,-0.008529741863075197,0.04575892857142857,,,,0.3655555555555556,,-0.019236037804270467,,0.01326144538357905
TCGA-AA-3005,-0.02237136465324385,0.12143658810325476,-0.04441964285714286,,,,0.33,,0.1438079527564986,,0.04969415494967787
TCGA-AA-3006,0.012464046021093002,-0.01762065095398429,-0.005803571428571429,,,,0.13333333333333333,,-0.03008469697507729,,-0.01794413420182436
TCGA-AA-3007,0.04666027484819431,0.03636363636363636,0.038392857142857145,,,,0.08222222222222222,,-0.010296638484557946,,0.0140481093291496
TCGA-AA-3008,-0.06999041227229147,0.040179573512906845,-0.16517857142857142,,,,-0.12111111111111111,,0.11016998578519832,,-0.027504292821686552
TCGA-AA-3009,-0.06471716203259828,0.09034792368125702,-0.07276785714285715,,,,-0.15444444444444444,,0.1550650857138553,,0.041148614285499076
TCGA-AA-3010,-0.004953659316075424,0.005499438832772166,-0.007366071428571428,,,,0.24222222222222223,,0.01045309814884759,,0.0015435133601380806
TCGA-AA-3011,0.0311601150527325,0.027160493827160494,-0.006919642857142857,,,,0.2611111111111111,,-0.003999621225572007,,-0.005459632041357432
TCGA-AA-3012,-0.1061041866410994,0.055780022446689115,-0.02299107142857143,,,,0.12777777777777777,,0.1618842090877885,,0.06944656882960853
TCGA-AA-3013,0.01278363694471077,0.030190796857463523,-0.01763392857142857,,,,0.19444444444444445,,0.017407159912752754,,-0.00011338432933790873
TCGA-AA-3014,0.002556727388942154,0.027048260381593716,-0.09866071428571428,,,,0.0077777777777777776,,0.02449153299265156,,-0.03708459064653136
TCGA-AA-3015,-0.014860977948226271,0.018855218855218854,0.048214285714285716,,,,0.09,,0.03371619680344513,,0.04096524125886542
TCGA-AA-3016,-0.02029402364972835,0.03928170594837262,-0.12299107142857142,,,,-0.08,,0.059575729598100965,,-0.03170767091523523
TCGA-AA-3017,-0.11345477788430809,-0.0003367003367003367,-0.009598214285714286,,,,0.34444444444444444,,0.11311807754760775,,0.051759931630946734
TCGA-AA-3018,-0.18248641738574625,0.16632996632996633,0.146875,,,,0.3477777777777778,,0.34881638371571255,,0.24784569185785627
TCGA-AA-3019,-0.04969638862256312,0.0877665544332211,-0.045089285714285714,,,,0.23666666666666666,,0.13746294305578421,,0.04618682867074925
TCGA-AA-3020,-0.005433045701502077,-0.024242424242424242,0.04196428571428571,,,,0.36333333333333334,,-0.018809378540922166,,0.011577453586681772
TCGA-AA-3021,-0.08149568552253116,-0.028395061728395062,-0.030580357142857142,,,,0.11888888888888889,,0.05310062379413609,,0.011260133325639474
TCGA-AA-3022,-0.040907638223074465,0.03052749719416386,-0.019642857142857142,,,,-0.028888888888888888,,0.07143513541723832,,0.02589613913719059
TCGA-AA-3023,-0.1716203259827421,0.20606060606060606,0.04441964285714286,,,,0.11444444444444445,,0.3776809320433482,,0.2110502874502455
TCGA-AA-3024,-0.04394375199744327,0.014702581369248036,-0.008035714285714285,,,,0.09222222222222222,,0.058646333366691304,,0.02530530954048851
TCGA-AA-3025,-0.01518056887184404,0.07059483726150392,-0.04977678571428571,,,,0.14,,0.08577540613334797,,0.01799931020953113
TCGA-AA-3026,-0.039309683604985615,0.09270482603815937,-0.002455357142857143,,,,0.06444444444444444,,0.13201450964314498,,0.06477957625014392
TCGA-AA-3027,-0.02764461489293704,0.06240179573512907,0.012276785714285714,,,,0.33666666666666667,,0.09004641062806612,,0.051161598171175916
TCGA-AA-3028,-0.15436241610738255,0.13636363636363635,0.17410714285714285,,,,0.3411111111111111,,0.2907260524710189,,0.23241659766408088
TCGA-AA-3029,-0.09268136784915308,0.010886644219977553,-0.08035714285714286,,,,0.10777777777777778,,0.10356801206913063,,0.011605434605993885
TCGA-AA-3030,-0.0394694790667945,0.04455667789001122,-0.00625,,,,0.23,,0.08402615695680572,,0.03888807847840286
TCGA-AA-3031,-0.06359859379993608,0.11414141414141414,-0.11607142857142858,,,,-0.005555555555555556,,0.17774000794135023,,0.030834289684960825
TCGA-AA-3032,-0.21700223713646533,0.1696969696969697,0.13683035714285716,,,,0.36777777777777776,,0.38669920683343506,,0.2617647819881461
TCGA-AA-3033,0.029242569511025888,-0.09618406285072952,-0.08013392857142858,,,,-0.11,,-0.1254266323617554,,-0.10278028046659199
TCGA-AA-3034,-0.015819750719079578,0.06251402918069585,-0.03482142857142857,,,,0.14,,0.07833377989977543,,0.021756175664173427
TCGA-AA-3035,0.02317034196228827,0.034455667789001124,0.061830357142857145,,,,0.3433333333333333,,0.011285325826712853,,0.036557841484785
TCGA-AA-3036,-0.026685842122083733,0.06083052749719416,-0.049107142857142856,,,,-0.05333333333333334,,0.08751636961927789,,0.019204613381067517
TCGA-AA-3037,-0.14749121124960052,0.24691358024691357,0.07209821428571428,,,,0.3111111111111111,,0.3944047914965141,,0.23325150289111418
TCGA-AA-3038,-0.06999041227229147,0.05230078563411897,0.004241071428571428,,,,0.12777777777777777,,0.12229119790641044,,0.06326613466749094
TCGA-AA-3039,-0.0987535953978907,0.15937149270482603,0.14129464285714285,,,,0.2811111111111111,,0.2581250881027167,,0.1997098654799298
TCGA-AA-3040,-0.05177372962607862,0.06341189674523008,-0.04196428571428571,,,,0.056666666666666664,,0.11518562637130869,,0.036610670328511494
TCGA-AA-3041,-0.1484499840204538,0.21156004489337824,0.1859375,,,,0.4211111111111111,,0.36001002891383205,,0.272973764456916
TCGA-AA-3042,-0.08389261744966443,-0.03827160493827161,-0.0515625,,,,0.37,,0.045621012511392826,,-0.0029707437443035854
TCGA-AA-3043,-0.15867689357622244,0.17755331088664422,0.17767857142857144,,,,0.26555555555555554,,0.33623020446286667,,0.25695438794571906
TCGA-AA-3044,0.0011185682326621924,0.028956228956228958,-0.08102678571428572,,,,-0.14777777777777779,,0.027837660723566766,,-0.026594562495359478
TCGA-AA-3045,-0.003515500159795462,0.05667789001122334,0.10959821428571428,,,,0.24333333333333335,,0.0601933901710188,,0.08489580222836654
TCGA-AA-3046,-0.03419622882710131,0.01021324354657688,0.027232142857142858,,,,0.2222222222222222,,0.04440947237367819,,0.035820807615410524
TCGA-AA-3047,-0.05800575263662512,0.056902356902356906,0.07924107142857142,,,,0.17222222222222222,,0.11490810953898203,,0.09707459048377673
TCGA-AA-3048,-0.0019175455417066154,0.04264870931537598,-0.017410714285714286,,,,0.057777777777777775,,0.0445662548570826,,0.013577770285684156
TCGA-AA-3049,-0.11665068712048578,0.16352413019079687,0.06607142857142857,,,,0.15444444444444444,,0.28017481731128263,,0.1731231229413556
TCGA-AA-3050,-0.059603707254713964,0.0345679012345679,-0.09285714285714286,,,,-0.19444444444444445,,0.09417160848928186,,0.0006572328160694973
TCGA-AA-3051,-0.2182806008309364,0.14882154882154883,0.22120535714285713,,,,0.3055555555555556,,0.3671021496524852,,0.2941537533976712
TCGA-AA-3052,-0.06935123042505593,0.02042648709315376,-0.09665178571428572,,,,-0.016666666666666666,,0.08977771751820969,,-0.0034370340980380137
TCGA-AA-3053,-0.038510706295941194,0.05555555555555555,-0.05267857142857143,,,,0.1322222222222222,,0.09406626185149675,,0.02069384521146266
TCGA-AA-3054,-0.07558325343560243,-0.0001122334455667789,-0.12120535714285714,,,,-0.37555555555555553,,0.07547101999003565,,-0.022867168576410746
TCGA-AA-3055,-0.09204218600191755,0.05140291806958474,-0.017857142857142856,,,,0.2222222222222222,,0.1434451040715023,,0.06279398060717972
