mean_predicted,fraction_positive,calibration_gap
0.048026891279193525,0.0392156862745098,0.008811205004683721
0.14459253157899887,0.08771929824561403,0.05687323333338484
0.2474399814082262,0.024390243902439025,0.2230497375057872
0.3520263347963131,0.06666666666666667,0.28535966812964647
0.45312751858144706,0.13333333333333333,0.31979418524811376
0.5490541393992949,0.125,0.4240541393992949
0.6483551174768166,0.3023255813953488,0.3460295360814678
0.7442391283124392,0.2857142857142857,0.4585248425981535
0.8468119002643676,0.22727272727272727,0.6195391729916403
0.9443939058155184,0.5,0.4443939058155184
