epoch,tr_auroc,tr_auprc,tr_f1,tr_precision,tr_recall,tr_specificity,tr_loss,tr_loss_bce,tr_loss_physics,va_auroc,va_auprc,va_f1,va_precision,va_recall,va_specificity,va_loss
0,0.7368,0.5291,0.5246,0.4604,0.6095,0.7059,0.92102,0.91183,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.41271
1,0.9795,0.9464,0.8745,0.8016,0.9619,0.902,0.62933,0.61955,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.26718
2,0.9929,0.9576,0.9455,0.9043,0.9905,0.9569,0.45278,0.44338,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.20498
3,0.9961,0.9871,0.963,0.9369,0.9905,0.9725,0.34195,0.33405,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.16977
4,0.9923,0.9705,0.9714,0.9714,0.9714,0.9882,0.27535,0.2692,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.15094
5,0.9854,0.9799,0.9668,0.9623,0.9714,0.9843,0.2624,0.25653,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.1358
6,0.9904,0.9878,0.9761,0.9808,0.9714,0.9922,0.22087,0.21601,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.11886
7,0.9919,0.987,0.9714,0.9714,0.9714,0.9882,0.20564,0.20064,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0976
8,0.9777,0.9763,0.9623,0.9533,0.9714,0.9804,0.21637,0.21188,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0912
9,0.9957,0.9921,0.9856,0.9904,0.981,0.9961,0.17092,0.16678,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08639
10,0.9819,0.9812,0.9714,0.9714,0.9714,0.9882,0.20769,0.20353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08211
11,0.9981,0.9941,0.9811,0.972,0.9905,0.9882,0.15067,0.1467,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07863
12,0.9832,0.9602,0.9714,0.9714,0.9714,0.9882,0.19187,0.18847,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07564
13,0.9961,0.9919,0.9856,0.9904,0.981,0.9961,0.19299,0.18901,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07285
14,0.9962,0.9838,0.9856,0.9904,0.981,0.9961,0.1421,0.13848,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07014
15,0.9937,0.991,0.9905,0.9905,0.9905,0.9961,0.13586,0.13253,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06756
