epoch,tr_auroc,tr_auprc,tr_f1,tr_precision,tr_recall,tr_specificity,tr_loss,tr_loss_bce,tr_loss_physics,va_auroc,va_auprc,va_f1,va_precision,va_recall,va_specificity,va_loss
0,0.7641,0.5569,0.5609,0.4578,0.7238,0.6471,0.86016,0.84955,0.0,1.0,1.0,0.9123,0.8387,1.0,0.9219,0.44248
1,0.9877,0.9739,0.9189,0.8718,0.9714,0.9412,0.59362,0.58402,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.28315
2,0.995,0.9713,0.9763,0.9717,0.981,0.9882,0.4373,0.42854,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.20723
3,0.9951,0.9877,0.9533,0.9358,0.9714,0.9725,0.33808,0.33089,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.16453
4,0.9978,0.9934,0.9763,0.9717,0.981,0.9882,0.2506,0.24468,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.13669
5,0.9942,0.9804,0.9668,0.9623,0.9714,0.9843,0.23415,0.22899,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.11812
6,0.9921,0.9888,0.9761,0.9808,0.9714,0.9922,0.21152,0.20701,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09636
7,0.9968,0.9944,0.9761,0.9808,0.9714,0.9922,0.1848,0.18096,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08717
8,0.9931,0.9856,0.981,0.981,0.981,0.9922,0.1848,0.18094,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07998
9,0.9921,0.9801,0.981,0.981,0.981,0.9922,0.16429,0.16094,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07495
10,0.9956,0.9901,0.9668,0.9623,0.9714,0.9843,0.15613,0.15302,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07138
11,0.9986,0.9963,0.9856,0.9904,0.981,0.9961,0.13725,0.13385,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06686
12,0.9957,0.9916,0.9858,0.9811,0.9905,0.9922,0.13229,0.12928,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06745
13,0.9967,0.9857,0.9856,0.9904,0.981,0.9961,0.12421,0.12118,0.0,1.0,1.0,0.9804,1.0,0.9615,1.0,0.08384
14,0.9975,0.9961,0.9905,0.9905,0.9905,0.9961,0.123,0.11964,0.0,1.0,1.0,0.9804,1.0,0.9615,1.0,0.12024
15,0.9983,0.9949,0.9856,0.9904,0.981,0.9961,0.11888,0.11593,0.0,1.0,1.0,0.9804,1.0,0.9615,1.0,0.12545
