epoch,tr_auroc,tr_auprc,tr_f1,tr_precision,tr_recall,tr_specificity,tr_loss,tr_loss_bce,tr_loss_physics,va_auroc,va_auprc,va_f1,va_precision,va_recall,va_specificity,va_loss
0,0.7512,0.5869,0.5259,0.4803,0.581,0.7412,0.89023,0.88154,0.0,0.997,0.993,0.9615,0.9615,0.9615,0.9844,0.52734
1,0.9703,0.9243,0.8584,0.8017,0.9238,0.9059,0.64808,0.63846,0.0,0.9898,0.9671,0.9434,0.9259,0.9615,0.9687,0.35508
2,0.9981,0.9957,0.9444,0.9189,0.9714,0.9647,0.46759,0.45858,0.0,0.9844,0.9067,0.9434,0.9259,0.9615,0.9687,0.27196
3,0.997,0.9936,0.9811,0.972,0.9905,0.9882,0.32522,0.3178,0.0,0.9838,0.8875,0.9615,0.9615,0.9615,0.9844,0.23784
4,0.9988,0.9969,0.981,0.981,0.981,0.9922,0.26308,0.25681,0.0,0.9838,0.8875,0.9615,0.9615,0.9615,0.9844,0.21777
5,0.9997,0.9994,0.9811,0.972,0.9905,0.9882,0.21201,0.20668,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.20454
6,0.9993,0.9985,0.9808,0.9903,0.9714,0.9961,0.19769,0.19307,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.1981
7,0.9987,0.9974,0.9904,1.0,0.981,1.0,0.17916,0.1747,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.19361
8,0.9991,0.9982,0.9952,1.0,0.9905,1.0,0.15449,0.15043,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.19046
9,0.9934,0.9926,0.981,0.981,0.981,0.9922,0.16398,0.16007,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.18794
10,0.9963,0.9953,0.9856,0.9904,0.981,0.9961,0.14448,0.14113,0.0,0.9844,0.8888,0.9615,0.9615,0.9615,0.9844,0.18602
11,0.9974,0.9962,0.9952,1.0,0.9905,1.0,0.12643,0.12312,0.0,0.985,0.9195,0.9615,0.9615,0.9615,0.9844,0.18445
12,0.9989,0.9979,0.9905,0.9905,0.9905,0.9961,0.12814,0.12459,0.0,0.9814,0.883,0.9615,0.9615,0.9615,0.9844,0.18318
13,1.0,0.9999,0.9952,1.0,0.9905,1.0,0.11554,0.11244,0.0,0.9796,0.8803,0.9615,0.9615,0.9615,0.9844,0.18218
14,0.999,0.9976,0.9763,0.9717,0.981,0.9882,0.13661,0.13344,0.0,0.9754,0.8756,0.9615,0.9615,0.9615,0.9844,0.1813
15,1.0,1.0,0.9952,1.0,0.9905,1.0,0.10311,0.09999,0.0,0.9669,0.8696,0.9615,0.9615,0.9615,0.9844,0.18062
