epoch,tr_auroc,tr_auprc,tr_f1,tr_precision,tr_recall,tr_specificity,tr_loss,tr_loss_bce,tr_loss_physics,va_auroc,va_auprc,va_f1,va_precision,va_recall,va_specificity,va_loss
0,0.746,0.5724,0.556,0.4926,0.6381,0.7294,0.87684,0.86768,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.44217
1,0.9752,0.9498,0.89,0.8942,0.8857,0.9569,0.60954,0.60037,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.26184
2,0.9957,0.9898,0.9484,0.9352,0.9619,0.9725,0.42769,0.41899,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.18407
3,0.9944,0.988,0.9763,0.9717,0.981,0.9882,0.31843,0.3116,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.1437
4,0.9982,0.9957,0.9856,0.9904,0.981,0.9961,0.23035,0.22493,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.12366
5,0.9988,0.997,0.9668,0.9623,0.9714,0.9843,0.20131,0.19626,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.11461
6,0.9958,0.9747,0.9761,0.9808,0.9714,0.9922,0.18083,0.17656,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.10632
7,0.9999,0.9996,0.9906,0.9813,1.0,0.9922,0.14148,0.13752,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.09736
8,0.9984,0.9966,0.9668,0.9623,0.9714,0.9843,0.16519,0.16134,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07387
9,0.999,0.9975,0.9858,0.9811,0.9905,0.9922,0.15385,0.14991,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06856
10,0.9975,0.9955,0.9856,0.9904,0.981,0.9961,0.13135,0.12826,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06516
11,0.9929,0.957,0.9859,0.9722,1.0,0.9882,0.12431,0.12138,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06412
12,0.9941,0.9742,0.9906,0.9813,1.0,0.9922,0.13967,0.13638,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06236
13,0.9999,0.9996,0.9856,0.9904,0.981,0.9961,0.10934,0.10642,0.0,1.0,1.0,0.9811,0.963,1.0,0.9844,0.06353
14,0.9966,0.988,0.9856,0.9904,0.981,0.9961,0.11607,0.11348,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05846
15,0.9991,0.9979,0.9858,0.9811,0.9905,0.9922,0.15421,0.1513,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0497
